;Empty;Consignment Stock;Technician;Sub;Main;OnBoard;In Transit;Returned Machines
Empty;;;;;;;;
Consignment Stock;;;;;;;;
Technician;;;;;;;;
Sub;;;;;;;;
Main;;;;;;;;
OnBoard;;;;;;;;
In Transit;;;;;;;;
Returned Machines;;;;;;;;
