5110;5120;IN-TRANSIT;;;
5110;5130;IN-TRANSIT;;;
5110;5140;IN-TRANSIT;;;
5110;5160;IN-TRANSIT;;;
5110;5170;IN-TRANSIT;;;
5110;5180;IN-TRANSIT;;;
5110;5190;IN-TRANSIT;;;
5110;51C0;IN-TRANSIT;;;
5110;51D0;IN-TRANSIT;;;
5110;51E0;IN-TRANSIT;;;
5110;51H0;IN-TRANSIT;;;
5110;51K0;IN-TRANSIT;;;
5110;51M0;IN-TRANSIT;;;
5110;51R0;IN-TRANSIT;;;
5110;51S0;IN-TRANSIT;;;
5110;51U0;IN-TRANSIT;;;
5110;51V0;IN-TRANSIT;;;
5110;5310;IN-TRANSIT;;;
5110;5330;IN-TRANSIT;;;
5110;5430;IN-TRANSIT;;;
5110;5440;IN-TRANSIT;;;
5110;5480;IN-TRANSIT;;;
5110;54E0;IN-TRANSIT;;;
5110;5510;IN-TRANSIT;;;
5110;5550;IN-TRANSIT;;;
5110;5570;IN-TRANSIT;;;
5110;5590;IN-TRANSIT;;;
5110;55M0;IN-TRANSIT;;;
5110;5630;IN-TRANSIT;;;
5110;5670;IN-TRANSIT;;;
5110;5680;IN-TRANSIT;;;
5110;5690;IN-TRANSIT;;;
5110;56B0;IN-TRANSIT;;;
5110;5710;IN-TRANSIT;;;
5110;5730;IN-TRANSIT;;;
5110;5790;IN-TRANSIT;;;
5110;57C0;IN-TRANSIT;;;
5110;5830;IN-TRANSIT;;;
5110;5860;IN-TRANSIT;;;
5110;5890;IN-TRANSIT;;;
5110;5970;IN-TRANSIT;;;
5110;MT_DDL;IN-TRANSIT;;;
5110;5200;IN-TRANSIT;;;
5110;5210;IN-TRANSIT;;;
5110;5220;IN-TRANSIT;;;
5110;5230;IN-TRANSIT;;;
5110;5240;IN-TRANSIT;;;
5110;5250;IN-TRANSIT;;;
5110;5260;IN-TRANSIT;;;
5110;5280;IN-TRANSIT;;;
5110;5290;IN-TRANSIT;;;
5110;52B0;IN-TRANSIT;;;
5110;52C0;IN-TRANSIT;;;
5110;52D0;IN-TRANSIT;;;
5110;52E0;IN-TRANSIT;;;
5110;52F0;IN-TRANSIT;;;
5110;52H0;IN-TRANSIT;;;
5110;52K0;IN-TRANSIT;;;
5110;52M0;IN-TRANSIT;;;
5110;52N0;IN-TRANSIT;;;
5110;52P0;IN-TRANSIT;;;
5110;52R0;IN-TRANSIT;;;
5110;52T0;IN-TRANSIT;;;
5110;52U0;IN-TRANSIT;;;
5110;52V0;IN-TRANSIT;;;
5110;52X0;IN-TRANSIT;;;
5110;5320;IN-TRANSIT;;;
5110;5340;IN-TRANSIT;;;
5110;5380;IN-TRANSIT;;;
5110;5410;IN-TRANSIT;;;
5110;5420;IN-TRANSIT;;;
5110;5450;IN-TRANSIT;;;
5110;5490;IN-TRANSIT;;;
5110;5520;IN-TRANSIT;;;
5110;5540;IN-TRANSIT;;;
5110;5560;IN-TRANSIT;;;
5110;5580;IN-TRANSIT;;;
5110;55C0;IN-TRANSIT;;;
5110;55E0;IN-TRANSIT;;;
5110;55F0;IN-TRANSIT;;;
5110;55G0;IN-TRANSIT;;;
5110;55H0;IN-TRANSIT;;;
5110;55K0;IN-TRANSIT;;;
5110;55N0;IN-TRANSIT;;;
5110;55P0;IN-TRANSIT;;;
5110;55S0;IN-TRANSIT;;;
5110;5610;IN-TRANSIT;;;
5110;5620;IN-TRANSIT;;;
5110;5640;IN-TRANSIT;;;
5110;5650;IN-TRANSIT;;;
5110;5660;IN-TRANSIT;;;
5110;5010;IN-TRANSIT;;;
5110;5020;IN-TRANSIT;;;
5110;5030;IN-TRANSIT;;;
5110;5040;IN-TRANSIT;;;
5110;5050;IN-TRANSIT;;;
5110;5060;IN-TRANSIT;;;
5110;5070;IN-TRANSIT;;;
5110;5080;IN-TRANSIT;;;
5110;5090;IN-TRANSIT;;;
5110;50A0;IN-TRANSIT;;;
5110;5300;IN-TRANSIT;;;
5110;5400;IN-TRANSIT;;;
5110;5500;IN-TRANSIT;;;
5110;5600;IN-TRANSIT;;;
5110;5700;IN-TRANSIT;;;
5110;5800;IN-TRANSIT;;;
5110;5900;IN-TRANSIT;;;
5110;5000;IN-TRANSIT;;;
